calendar_quarter,formation_date,next_formation_date,side,ticker,cik,filed_date,report_type,max_abs_shrink,leg_weight,signed_weight
2018Q1,2018-03-30,2018-06-29,short,ELV,1156039,2018-02-21,10-K,0.17333984375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,JNPR,1043604,2018-02-23,10-K,0.17333984375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,INTU,896878,2018-02-22,10-Q,0.1734619140625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,AMP,820027,2018-02-23,10-K,0.173828125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,LULU,1397187,2018-03-27,10-K,0.1741943359375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,NRG,1013871,2018-03-01,10-K,0.17431640625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,UAL,100517,2018-02-22,10-K,0.1748046875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,SPGI,64040,2018-02-09,10-K,0.1754150390625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,JNJ,200406,2018-02-21,10-K,0.17626953125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,T,732717,2018-02-20,10-K,0.17626953125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,SNPS,883241,2018-02-23,10-Q,0.1763916015625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,BIIB,875045,2018-02-01,10-K,0.177001953125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,CTAS,723254,2018-01-05,10-Q,0.177978515625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,FIS,1136893,2018-02-22,10-K,0.177978515625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,DXCM,1093557,2018-02-27,10-K,0.17919921875,0.01098901098901099,-0.01098901098901099
